id,term,name
,732,vt.
,733,/flarp/
,733,n.
,735,adj.
,736,adj.
,737,adj.
,738,vt.
,739,n.
,740,adj.
,741,"/flip´ee/"
,741,n.
,742,v.
,743,n.
,744,n.
,745,v.
,746,"/fli:´payj/"
,746,n.
,747,n.
,748,n.
,749,"/F·M/"
,749,n.
,750,n.
,751,//
,751,n.
,752,/fod/
,752,v.
,753,v.
,754,n.
,755,n.
,756,/foo/
,757,n.
,758,n.
,759,n.
,760,n.
,761,n.
,762,adj.
,763,adj.
,765,pl.n.
,766,vt.
,768,n.
,769,"adj.,vi."
,770,n.
,771,"/for´trash/"
,771,n.
,772,n.
,773,n.
,774,n.
,775,n.
,776,"n.,v."
,777,adj.
,778,n.
,779,n.
,780,n.
,781,"/fred´net/"
,781,n.
,782,n.
,783,n.
,784,v.
,785,adj.
,786,/frink/
,786,v.
,787,"/fri:´ohd/"
,787,n.
,788,n.
,789,/frob/
,790,"/frob´ni·kayt/"
,790,vt.
,791,"/frob´nits/"
,791,pl.
,791,frobnitzem
,791,"/frob´nit·zm/"
,791,"frob­ni"
,791,"/frob'­ni:/"
,791,n.
,792,phrog
,793,v.
,794,n.
,795,/frots/
,796,/frotst/
,796,adj.
,797,n.
,798,//
,798,"n.,obs."
,800,"/fus'·king/"
,800,"/eff'·seek·ing/"
,800,adj.
,801,"/F·S·F/"
,801,abbrev.
,803,n.
,804,excl.
,805,/fuhd/
,805,n.
,806,"/fuhd worz/"
,806,n.
,808,n.
,809,vi.
,810,n.
,811,n.
,812,n.
,813,adj.
,814,n.
,815,excl.
,816,"pref.,suff."
,817,n.
,818,n.
,819,vi.
,820,"/gar´plee/"
,820,n.
,823,"/gaw´bl/"
,823,n.
,824,"/G·C/"
,825,"/jee´kohs/"
,825,n.
,826,"/jee´kohs/"
,826,n.
,827,"/g@·dahn´kn/"
,827,adj.
,828,v.
,829,n.
,830,n.
,831,vi.
,833,/jen/
,833,"n.,v."
,834,n.
,835,n.
,836,vt.
,837,n.
,838,"/jen´sim/"
,839,imp.
,840,imp.
,842,/jib/
,844,/jig/
,844,/gig/
,844,n.
,845,"/ji´ga/"
,845,"/gi´ga/"
,845,pref.
,846,"/gi:´goh/"
,847,n.
,848,"/gil´y@n/"
,848,"/jil´y@n/"
,848,n.
,849,n.
,850,/gips/
,850,/jips/
,850,n.
,851,n.
,852,/glark/
,852,vt.
,853,n.
,854,"/glas T·T·Y/"
,854,"/glas ti´tee/"
,854,n.
,855,"/glas´fet/"
,855,n.
,856,/glich/
,857,/glob/
,857,not
,857,/glohb/
,857,"v.,n."
,858,/glork/
,859,n.
,860,"/nar´lee/"
,860,adj.
,861,/gnoo/
,861,not
,861,/noo/
,862,"/noo´bee/"
,862,n.
,863,"/gnoo´maks/"
,863,n.
,864,v.
,865,v.
,866,vi.
,867,n.
,868,//
,870,vt.
,871,prov.
,872,"/god·zil'@·gram/"
,872,n.
,873,adj.
,874,"n. obs."
,875,/gonk/
,875,"vi.,n."
,876,"/gon´kyoo·lay·tr/"
,876,n.
,877,"/gon´zoh/"
,877,adj.
,878,"n.,adj."
,879,v.
,880,n.
,881,n.
,882,n.
,883,"/gor´ets/"
,883,n.
,884,n.
,885,/gorp/
,885,n.
,886,"/goz´maks/"
,886,n.
,887,n.
,888,"/G·P·L/"
,888,n.
,889,"/G·P·V/"
,889,n.
,890,n.
,893,n.
,894,n.
,895,n.
,896,"vi.,n."
,897,n.
,898,n.
,899,n.
,900,n.
,901,prov.
,902,n.
,903,/grep/
,903,vi.
,904,n.
,905,//
,905,n.
,906,vt.
,907,n.
,907,//
,908,/grich/
,909,/grok/
,909,/grohk/
,909,vt.
,910,/gronk/
,910,vt.
,911,vi.
,912,adj.
,913,vi.
,914,n.
,915,/gruhnj/
,915,n.
,916,"/guhb'@sh/"
,916,n.
,917,"/gwee´do/"
,917,"/khwee´do/"
,918,"/gilt´weir/"
,918,n.
,919,"/guhm´bee/"
,919,n.
,920,/guhnch/
,920,vt.
,921,n.
,922,n.
,923,n.
,924,/gweep/
,925,n.
,929,n.
