id,term,name
,387,[[b;#fff;]n.]
,388,[[b;#fff;]n.]
,389,[[b;#fff;]vt.]
,390,[[b;#fff;]n.]
,391,[[b;#fff;]n.]
,392,[[b;#fff;]n.]
,393,[[b;#fff;]/konz/]
,393,[[b;#fff;]/kons/]
,394,[[b;#fff;]adj.]
,395,[[b;#fff;]n.]
,396,[[b;#fff;]n.]
,397,[[b;#fff;]adj.]
,398,[[b;#fff;]vi.]
,399,[[b;#fff;]vi.]
,400,[[b;#fff;]vi.]
,401,[[b;#fff;]vi.]
,402,[[b;#fff;]prov.]
,403,[[b;#fff;]n.]
,404,[[b;#fff;]n.]
,405,[[b;#fff;]n.]
,406,"[[b;#fff;]n. obs.]"
,407,[[b;#fff;]n.]
,408,[[b;#fff;]n.]
,409,[[b;#fff;]n.]
,410,[[b;#fff;]n.]
,411,[[b;#fff;]n.]
,412,[[b;#fff;]n.]
,413,"[[b;#fff;]/kop´ee·brohk/]"
,413,[[b;#fff;]adj.]
,414,[[b;#fff;]n.]
,415,"[[b;#fff;]/kop´ee·left/]"
,415,[[b;#fff;]n.]
,416,[[b;#fff;]n.]
,417,"[[b;#fff;]/kop´ee·rongd/]"
,417,[[b;#fff;]adj.]
,418,[[b;#fff;]n.]
,419,[[b;#fff;]n.]
,420,[[b;#fff;]n.]
,421,[[b;#fff;]n.]
,422,[[b;#fff;]n.]
,423,[[b;#fff;]n.]
,424,[[b;#fff;]v.]
,426,[[b;#fff;]n.]
,427,[[b;#fff;]n.]
,428,"[[b;#fff;]/C·P·M/]"
,428,[[b;#fff;]n.]
,429,"[[b;#fff;]/C·P·U worz/]"
,429,[[b;#fff;]n.]
,431,[[b;#fff;]v.]
,432,[[b;#fff;]n.]
,433,[[b;#fff;]n.]
,434,[[b;#fff;]vt.]
,435,[[b;#fff;]n.]
,436,"[[b;#fff;]/krap´tekh/]"
,436,[[b;#fff;]n.]
,438,"[[b;#fff;]vi.,n.]"
,439,[[b;#fff;]n.]
,441,[[b;#fff;]n.]
,442,[[b;#fff;]v.]
,443,[[b;#fff;]n.]
,444,"[[b;#fff;]/kree´ping fee´chr·izm/]"
,444,[[b;#fff;]n.]
,445,"[[b;#fff;]/kree´ping fee'·chr·i:`t@s/]"
,445,[[b;#fff;]n.]
,446,"[[b;#fff;]/kret´in/]"
,446,"[[b;#fff;]/kree´tn/]"
,446,[[b;#fff;]n.]
,447,"[[b;#fff;]/kret´n·@s/]"
,447,"[[b;#fff;]/kreet´n·@s/]"
,447,[[b;#fff;]adj.]
,448,[[b;#fff;]n.]
,449,[[b;#fff;]n.]
,450,"[[b;#fff;]/ker´l@f/]"
,450,"[[b;#fff;]/kru´l@f/]"
,450,"[[b;#fff;]/C·R·L·F/]"
,450,[[b;#fff;]n.]
,451,[[b;#fff;]n.]
,452,[[b;#fff;]vi.]
,453,"[[b;#fff;]v.,n.]"
,454,"[[b;#fff;]/kruhd´weir/]"
,454,[[b;#fff;]n.]
,455,[[b;#fff;]/kruhft/]
,456,[[b;#fff;]vt.]
,457,"[[b;#fff;]/kruhfts´m@n·ship /]"
,457,[[b;#fff;]n.]
,458,"[[b;#fff;]/kruhf´tee/]"
,458,[[b;#fff;]adj.]
,459,[[b;#fff;]n.]
,461,"[[b;#fff;]/krip´ee/]"
,461,[[b;#fff;]n.]
,462,"[[b;#fff;]/kthool´hik/]"
,462,[[b;#fff;]adj.]
,463,"[[b;#fff;]/C·T·S·S/]"
,463,[[b;#fff;]n.]
,464,[[b;#fff;]n.]
,465,[[b;#fff;]n.]
,466,[[b;#fff;]n.]
,467,"[[b;#fff;]/kuhs´pee/]"
,467,[[b;#fff;]adj.]
,468,[[b;#fff;]vi.]
,469,"[[b;#fff;]/si:´ber·kruhd/]"
,469,[[b;#fff;]n.]
,470,"[[b;#fff;]/si:´ber·puhnk/]"
,470,"[[b;#fff;]n.,adj.]"
,471,"[[b;#fff;]/si:´br·spays`/]"
,471,[[b;#fff;]n.]
,473,[[b;#fff;]n.]
,474,[[b;#fff;]n.]
,475,[[b;#fff;]n.]
,476,[[b;#fff;]n.]
,477,"[[b;#fff;]/day´mn/]"
,477,"[[b;#fff;]/dee´mn/]"
,477,[[b;#fff;]n.]
,478,[[b;#fff;]n.]
,479,"[[b;#fff;]/dah´mum/]"
,479,[[b;#fff;]n.]
,480,[[b;#fff;]n.]
,481,[[b;#fff;]n.]
,482,[[b;#fff;]n.]
,483,"[[b;#fff;]/day`t@·may´sh@n/]"
,483,[[b;#fff;]n.]
,484,[[b;#fff;]/dow/]
,484,[[b;#fff;]n.]
,485,[[b;#fff;]n.]
,486,[[b;#fff;]n.]
,487,"[[b;#fff;]/dee·dee/]"
,487,[[b;#fff;]vt.]
,488,"[[b;#fff;]/D·D·T/]"
,488,[[b;#fff;]n.]
,489,"[[b;#fff;]/dee·rez´/]"
,490,[[b;#fff;]adj.]
,491,[[b;#fff;]n.]
,492,[[b;#fff;]n.]
,494,"[[b;#fff;]/ded·beef/]"
,494,[[b;#fff;]n.]
,495,[[b;#fff;]n.]
,496,[[b;#fff;]n.]
,497,[[b;#fff;]n.]
,498,[[b;#fff;]n.]
,499,[[b;#fff;]n.]
,501,[[b;#fff;]/dek/]
,501,[[b;#fff;]n.]
,502,[[b;#fff;]n.]
,503,"[[b;#fff;]n.,vi]"
,504,"[[b;#fff;]/dek´l/]"
,504,[[b;#fff;]n.]
,505,"[[b;#fff;]/D·E·D/]"
,505,[[b;#fff;]n.]
,506,[[b;#fff;]n.]
,507,[[b;#fff;]n.]
,508,[[b;#fff;]n.]
,509,[[b;#fff;]n.]
,510,[[b;#fff;]adj.]
,512,"[[b;#fff;]/dee·hohz/]"
,512,[[b;#fff;]vt.]
,514,[[b;#fff;]n.]
,514,"[[b;#fff;]/d@·lee´sha/]"
,515,"[[b;#fff;]/de·lim'·in·ay·t@r/]"
,515,[[b;#fff;]n.]
,516,"[[b;#fff;]/dee·lint/]"
,516,"[[b;#fff;]v. obs.]"
,517,[[b;#fff;]n.]
,518,[[b;#fff;]adj.]
,519,[[b;#fff;]n.]
,520,"[[b;#fff;]/de´moh/]"
,521,[[b;#fff;]n.]
,522,[[b;#fff;]n.]
,523,[[b;#fff;]n.]
,524,[[b;#fff;]n.]
,525,[[b;#fff;]n.]
,526,[[b;#fff;]n.]
,527,"[[b;#fff;]/dem´oh·seen/]"
,528,"[[b;#fff;]/den´troh/]"
,529,"[[b;#fff;]/dee·ped'@·tayt/]"
